Gene,NCTId,Overall_Status,Conditions,Phase,Phase_Score,Status_Score,Cancer_Score,Modality_Score,Total_Score,EARLY_PHASE1,N/A,NA,PHASE1,PHASE2,PHASE3,PHASE4
ACACA,NCT02498002,COMPLETED,"Obesity, Type 2 Diabetes",NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ACADM,NCT06773026,RECRUITING,Medium-chain Acyl-CoA Dehydrogenase Deficiency,PHASE2,4,2,0,16,22,0.0,0.0,4.0,1.0,3.0,0.0,0.0
ACADVL,NCT00983788,COMPLETED,"Carnitine Palmitoyltransferase II Deficiency, Very Long Chain Acyl Coa Dehydrogenase Deficiency",PHASE2,4,3,0,16,23,0.0,0.0,2.0,0.0,1.0,0.0,0.0
ACAT1,NCT05304546,NOT_YET_RECRUITING,"Malignant Melanoma, Metastatic Melanoma, Immunotherapy, BRAF V600E, Malignant Melanoma Stage IV",PHASE2,4,2,10,16,32,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ACCS,NCT02860936,COMPLETED,Adenoid Cystic Carcinomas of the Salivary Glands,PHASE2,4,3,10,16,33,0.0,0.0,2.0,1.0,1.0,0.0,0.0
ACD,NCT06011603,COMPLETED,"Allergic Reaction, Wound Complication",PHASE4,6,3,0,16,25,1.0,0.0,38.0,3.0,9.0,8.0,5.0
ACLY,NCT06381947,NOT_YET_RECRUITING,"Dyslipidemias, Statin Adverse Reaction, Cardiovascular Diseases, Lipid Metabolism Disorders",PHASE4,6,2,0,16,24,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ACO2,NCT04761237,COMPLETED,"Jugular Veins, Radial Artery, Carbon Dioxide",NA,0,3,0,16,19,0.0,0.0,6.0,0.0,0.0,0.0,0.0
ACP5,NCT06018467,RECRUITING,"Osteopenia, Osteoporosis",PHASE2,4,2,0,16,22,0.0,0.0,6.0,1.0,2.0,0.0,0.0
ACSM3,NCT05777265,COMPLETED,Healthy Women,NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ACSS2,NCT04990739,UNKNOWN,Advanced Solid Tumor,PHASE1,3,1,10,16,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ACTA2,NCT05401500,UNKNOWN,Familial Aortopathies,NA,0,1,0,16,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ACTN1,NCT04456608,TERMINATED,Platelet Function,PHASE4,6,0,0,16,22,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ACTN4,NCT06261879,RECRUITING,"Cervical Cancer, CIN",NA,0,2,10,16,28,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ACVR1,NCT03429218,COMPLETED,Advanced Solid Tumors,PHASE1,3,3,10,16,32,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ADA,NCT01563120,COMPLETED,Gestational Diabetes Mellitus,PHASE4,6,3,0,16,25,0.0,0.0,27.0,28.0,12.0,15.0,12.0
ADAL,NCT05300620,COMPLETED,Healthy,NA,0,3,0,16,19,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ADAM10,NCT00312780,COMPLETED,"Albuminuria, Diabetic Nephropathy",PHASE2,4,3,0,16,23,0.0,0.0,1.0,1.0,1.0,0.0,0.0
ADAM12,NCT04554771,ACTIVE_NOT_RECRUITING,"Esophageal Adenocarcinoma, Oesophageal Adenocarcinoma, Resectable Carcinoma",PHASE2,4,2,10,16,32,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ADAM17,NCT01223196,COMPLETED,Type 2 Diabetes,PHASE4,6,3,0,16,25,0.0,0.0,2.0,2.0,1.0,0.0,1.0
ADAM22,NCT06584045,NOT_YET_RECRUITING,"Encephalitis, Encephalitis, Viral, Autoimmune Encephalitis Caused by N-Methyl D-Aspartate Receptor Antibody, Autoimmune Encephalitis",NA,0,2,0,16,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ADAM23,NCT06584045,NOT_YET_RECRUITING,"Encephalitis, Encephalitis, Viral, Autoimmune Encephalitis Caused by N-Methyl D-Aspartate Receptor Antibody, Autoimmune Encephalitis",NA,0,2,0,16,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ADAM9,NCT06723236,NOT_YET_RECRUITING,"Advanced Solid Tumors, NSCLC Adenocarcinoma, Cholangiocarcinoma, Pancreatic Carcinoma",PHASE1,3,2,10,16,31,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ADAMTS4,NCT06606561,NOT_YET_RECRUITING,Knee Osteoarthritis,PHASE1,3,2,0,16,21,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ADAMTS7,NCT06606561,NOT_YET_RECRUITING,Knee Osteoarthritis,PHASE1,3,2,0,16,21,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ADAR,NCT06184750,RECRUITING,"Breast Carcinoma, Breast Ductal Carcinoma In Situ, Breast Lobular Carcinoma In Situ, Estrogen Receptor-Positive Breast Carcinoma",PHASE2,4,2,10,16,32,0.0,0.0,0.0,1.0,1.0,0.0,0.0
ADCY3,NCT05938335,NOT_YET_RECRUITING,"Obesity, Child",NA,0,2,0,16,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ADCY6,NCT03360448,WITHDRAWN,Heart Failure,PHASE3,5,0,0,16,21,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ADD1,NCT05503043,UNKNOWN,Organ Protection,NA,0,1,0,16,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ADH5,NCT03926741,COMPLETED,"Asthma, Healthy Volunteers",EARLY_PHASE1,2,3,0,16,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIPOR1,NCT02261545,UNKNOWN,Diabetes Mellitus Type II,PHASE4,6,1,0,16,23,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ADIPOR2,NCT02261545,UNKNOWN,Diabetes Mellitus Type II,PHASE4,6,1,0,16,23,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ADK,NCT02158481,COMPLETED,"Vascular Diseases, Impaired Glucose Tolerance",NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ADM,NCT00249366,COMPLETED,Alcohol Withdrawal Syndrome,PHASE4,6,3,0,16,25,3.0,0.0,392.0,45.0,79.0,50.0,48.0
ADNP,NCT04388774,COMPLETED,ADNP Syndrome,PHASE1,3,3,0,16,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ADO,NCT00781404,COMPLETED,Acute Myocardial Infarction,PHASE3,5,3,0,16,24,1.0,0.0,16.0,12.0,14.0,4.0,0.0
ADRB2,NCT01108627,WITHDRAWN,Safety of Long Acting Beta Agnoists,PHASE4,6,0,0,16,22,0.0,0.0,4.0,2.0,3.0,1.0,1.0
ADRM1,NCT01878357,COMPLETED,Malaria,PHASE4,6,3,0,16,25,0.0,0.0,7.0,5.0,4.0,1.0,2.0
ADSL,NCT03776656,COMPLETED,Adenylosuccinate Lyase Deficiency,PHASE2,4,3,0,16,23,0.0,0.0,1.0,0.0,1.0,0.0,0.0
AGA,NCT01199874,COMPLETED,Rotavirus Gastroenteritis,PHASE4,6,3,0,16,25,2.0,0.0,95.0,18.0,31.0,19.0,19.0
AGER,NCT03644212,COMPLETED,"Polycystic Ovary Syndrome, Vitamin D Deficiency",PHASE4,6,3,0,16,25,0.0,0.0,7.0,2.0,0.0,1.0,3.0
AGK,NCT01596465,COMPLETED,Heart Murmur,NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AGL,NCT03642860,COMPLETED,"Tarui Disease, Debrancher Deficiency, GYG1 DEFICIENCY",PHASE2,4,3,0,16,23,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AGPAT2,NCT02056912,COMPLETED,Lipodystrophy,NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AGPS,NCT06529276,COMPLETED,Augmented Reality,NA,0,3,0,16,19,0.0,0.0,2.0,0.0,0.0,0.0,0.0
AHR,NCT00546520,COMPLETED,Asthma,PHASE3,5,3,0,16,24,1.0,0.0,11.0,7.0,4.0,1.0,0.0
AIDA,NCT00465933,COMPLETED,Acute Promyelocytic Leukemia,PHASE4,6,3,10,16,35,0.0,0.0,9.0,0.0,2.0,2.0,2.0
AIM2,NCT02127125,COMPLETED,Insulin Sensitivity,PHASE2,4,3,0,16,23,0.0,0.0,7.0,3.0,2.0,0.0,0.0
AIP,NCT06468709,RECRUITING,Type 1 AIP,PHASE4,6,2,0,16,24,0.0,0.0,10.0,5.0,1.0,0.0,1.0
AK2,NCT03252717,UNKNOWN,Breast Cancer,NA,0,1,10,16,27,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AKAP9,NCT02722473,COMPLETED,"Cardiac Arrest, Hypothermia, Critical Care",PHASE3,5,3,0,16,24,0.0,0.0,0.0,0.0,0.0,3.0,0.0
AKR1B1,NCT00000159,COMPLETED,"Diabetic Retinopathy, Diabetes Mellitus",PHASE3,5,3,0,16,24,1.0,0.0,4.0,2.0,5.0,4.0,0.0
AKR1C3,NCT03770325,COMPLETED,Cardiovascular Risk Factor,PHASE2,4,3,0,16,23,0.0,0.0,1.0,3.0,4.0,0.0,0.0
AKT1,NCT01206764,COMPLETED,Renal Cell Carcinoma,PHASE4,6,3,10,16,35,1.0,0.0,16.0,23.0,25.0,4.0,1.0
AKT2,NCT00075400,COMPLETED,"Recurrent Uterine Sarcoma, Uterine Carcinosarcoma",PHASE2,4,3,10,16,33,0.0,0.0,0.0,0.0,2.0,0.0,0.0
AKTIP,NCT04124354,TERMINATED,PreDiabetes,NA,0,0,0,16,16,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ALDH1A1,NCT01190345,COMPLETED,Breast Cancer,PHASE2,4,3,10,16,33,0.0,0.0,0.0,0.0,3.0,0.0,0.0
ALDH2,NCT00343278,COMPLETED,Virus Diseases,PHASE4,6,3,0,16,25,1.0,0.0,2.0,1.0,2.0,0.0,1.0
ALDH3A2,NCT02402309,COMPLETED,Sjögren-Larsson Syndrome,PHASE2,4,3,0,16,23,0.0,0.0,0.0,1.0,1.0,0.0,0.0
ALG1,NCT04812405,COMPLETED,Healthy Patients,NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ALPK1,NCT06244992,RECRUITING,Locally Advanced or Metastatic Solid Tumors,PHASE1,3,2,10,16,31,0.0,0.0,0.0,2.0,0.0,0.0,0.0
AMD1,NCT06573216,COMPLETED,Blood Pressure,NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AMPD2,NCT00513110,COMPLETED,Endotoxemia,PHASE1,3,3,0,16,22,0.0,0.0,1.0,1.0,0.0,0.0,0.0
AMPD3,NCT00513110,COMPLETED,Endotoxemia,PHASE1,3,3,0,16,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AMT,NCT04022811,COMPLETED,"Pterygium, Pain",PHASE4,6,3,0,16,25,1.0,0.0,34.0,5.0,11.0,1.0,4.0
ANG,NCT02832973,COMPLETED,Hypertension Resistant to Conventional Therapy,PHASE4,6,3,0,16,25,3.0,0.0,59.0,19.0,37.0,18.0,26.0
ANGPT1,NCT01623869,COMPLETED,"Adult Angiosarcoma, Recurrent Adult Soft Tissue Sarcoma, Stage III Adult Soft Tissue Sarcoma, Stage IV Adult Soft Tissue Sarcoma",PHASE2,4,3,10,16,33,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ANGPT2,NCT02686177,COMPLETED,Type 2 Diabetes,PHASE4,6,3,0,16,25,0.0,0.0,1.0,1.0,2.0,0.0,1.0
ANXA1,NCT03019653,COMPLETED,"Heart Failure, Cardiorenal Disease, Renal Disfunction",PHASE1,3,3,0,16,22,0.0,0.0,2.0,1.0,0.0,0.0,0.0
ANXA2,NCT03031925,COMPLETED,"Systemic Lupus Erythematosus (SLE), Lupus Nephritis",NA,0,3,0,16,19,0.0,0.0,3.0,0.0,0.0,0.0,0.0
AP4M1,NCT06692712,NOT_YET_RECRUITING,Hereditary Spastic Paraplegia Type 50,PHASE3,5,2,0,16,23,0.0,0.0,0.0,2.0,0.0,1.0,0.0
APAF1,NCT06220929,NOT_YET_RECRUITING,"Sepsis, Liver Dysfunction",PHASE4,6,2,0,16,24,0.0,0.0,1.0,0.0,0.0,0.0,1.0
APC,NCT00725244,COMPLETED,"Radiation Injuries, Telangiectasis",PHASE4,6,3,0,16,25,1.0,0.0,82.0,9.0,33.0,10.0,11.0
APCDD1,NCT01882660,TERMINATED,Colon Cancer,NA,0,0,10,16,26,0.0,0.0,1.0,0.0,0.0,0.0,0.0
APEX1,NCT03510390,COMPLETED,"Head and Neck Cancer, Oral Cavity Squamous Cell Carcinoma",NA,0,3,10,16,29,0.0,0.0,2.0,0.0,0.0,0.0,0.0
APOBEC3B,NCT03989089,ACTIVE_NOT_RECRUITING,HER2-Negative Breast Cancer,PHASE2,4,2,10,16,32,0.0,0.0,0.0,0.0,1.0,0.0,0.0
APOBEC3G,NCT00598169,COMPLETED,Lymphoma,PHASE1,3,3,10,16,32,0.0,0.0,0.0,1.0,0.0,0.0,0.0
APOC1,NCT02816099,COMPLETED,diabète de Type 1,NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
APOE,NCT04117178,COMPLETED,"Dementia, Dementia With Lewy Bodies, Dementia in Parkinsons Disease, Dementia Alzheimers, Alzheimer Disease",PHASE4,6,3,0,16,25,0.0,0.0,69.0,11.0,16.0,9.0,2.0
APOL1,NCT06110130,RECRUITING,Chronic Kidney Diseases,PHASE4,6,2,0,16,24,0.0,0.0,7.0,1.0,4.0,1.0,1.0
APOM,NCT05472883,RECRUITING,Type 2 Diabetes,NA,0,2,0,16,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
APP,NCT02267057,COMPLETED,"Depression, Pain, Dementia",PHASE4,6,3,0,16,25,10.0,0.0,489.0,19.0,27.0,14.0,6.0
APRT,NCT02752633,COMPLETED,Adenine Phosphoribosyltransferase Deficiency,PHASE4,6,3,0,16,25,0.0,0.0,1.0,0.0,0.0,0.0,1.0
APTX,NCT01361464,COMPLETED,"Adult Acute Megakaryoblastic Leukemia, Adult Acute Monoblastic Leukemia, Adult Acute Monocytic Leukemia, Adult Acute Myeloid Leukemia With Inv(16)(p13.1q22); CBFB-MYH11, Adult Acute Myeloid Leukemia With Maturation, Adult Acute Myeloid Leukemia With Minimal Differentiation, Adult Acute Myeloid Leukemia With t(16;16)(p13.1;q22); CBFB-MYH11, Adult Acute Myeloid Leukemia With t(8;21)(q22;q22); RUNX1-RUNX1T1, Adult Acute Myeloid Leukemia With t(9;11)(p22;q23); MLLT3-MLL, Adult Acute Myeloid Leukemia Without Maturation, Adult Acute Myelomonocytic Leukemia, Adult Erythroleukemia, Adult Pure Erythroid Leukemia, Alkylating Agent-Related Acute Myeloid Leukemia, Secondary Acute Myeloid Leukemia, Untreated Adult Acute Myeloid Leukemia",PHASE2,4,3,10,16,33,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AR,NCT01523366,COMPLETED,Stable Coronary Artery Disease,PHASE4,6,3,0,16,25,8.0,0.0,304.0,120.0,160.0,101.0,80.0
ARF6,NCT04057547,UNKNOWN,Ulcerative Colitis,EARLY_PHASE1,2,1,0,16,19,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ARID1A,NCT05523440,RECRUITING,"Recurrent Endometrial Carcinoma, Recurrent Ovarian Carcinoma, ARID1A Gene Mutation",PHASE2,4,2,10,16,32,1.0,0.0,0.0,7.0,15.0,0.0,0.0
ARID4B,NCT02684565,COMPLETED,Prediabetic State,NA,0,3,0,16,19,0.0,0.0,3.0,0.0,0.0,0.0,0.0
ARNT,NCT05534802,COMPLETED,Pharmacological Action,NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ARSA,NCT04283227,ACTIVE_NOT_RECRUITING,"Lysosomal Storage Diseases, Metachromatic Leukodystrophy",PHASE3,5,2,0,16,23,0.0,0.0,2.0,6.0,3.0,1.0,0.0
ARSB,NCT03173521,COMPLETED,Mucopolysaccharidosis Type VI,PHASE1,3,3,0,16,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ARSD,NCT04438980,COMPLETED,Covid-19 Pneumonia,PHASE3,5,3,0,16,24,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ASAH1,NCT05032118,WITHDRAWN,"Subarachnoid Hemorrhage, Aneurysmal",PHASE2,4,0,0,16,20,0.0,0.0,1.0,1.0,1.0,0.0,0.0
ASCL2,NCT01882660,TERMINATED,Colon Cancer,NA,0,0,10,16,26,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ASL,NCT02275364,COMPLETED,Nasal Congestion,PHASE4,6,3,0,16,25,1.0,0.0,90.0,14.0,10.0,1.0,4.0
ASNS,NCT02195180,COMPLETED,Pancreatic Adenocarcinoma Metastatic,PHASE2,4,3,10,16,33,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ASPH,NCT04217720,WITHDRAWN,"Myelodysplastic Syndromes, Chronic Myelomonocytic Leukemia (CMML)",PHASE2,4,0,10,16,30,0.0,0.0,1.0,2.0,1.0,0.0,0.0
ASXL1,NCT04588922,RECRUITING,Hematologic Malignancies,PHASE1,3,2,0,16,21,0.0,0.0,2.0,1.0,0.0,0.0,0.0
ATAD1,NCT03773536,COMPLETED,Plasmodium Falciparum Malaria,PHASE4,6,3,0,16,25,0.0,0.0,0.0,7.0,0.0,2.0,1.0
ATF1,NCT03132155,TERMINATED,Clear Cell Sarcoma,PHASE2,4,0,10,16,30,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ATF3,NCT03965689,ACTIVE_NOT_RECRUITING,"Metastatic Lung Non-Small Cell Squamous Carcinoma, Metastatic Lung Non-Squamous Non-Small Cell Carcinoma, Stage IIIB Lung Cancer AJCC v8, Stage IV Lung Cancer AJCC v8, Stage IVA Lung Cancer AJCC v8, Stage IVB Lung Cancer AJCC v8, Unresectable Lung Non-Small Cell Carcinoma, Unresectable Lung Non-Squamous Non-Small Cell Carcinoma",PHASE2,4,2,10,16,32,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ATF4,NCT02344186,UNKNOWN,Type 2 Diabetes,PHASE4,6,1,0,16,23,0.0,0.0,1.0,0.0,1.0,0.0,1.0
ATF6,NCT04041232,NOT_YET_RECRUITING,"ACHROMATOPSIA 7, Achromatopsia",EARLY_PHASE1,2,2,0,16,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ATG10,NCT06030895,COMPLETED,Hepatocellular Carcinoma,NA,0,3,10,16,29,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ATG16L1,NCT05842564,NOT_YET_RECRUITING,"Crohn Disease, Pediatric Crohns Disease",NA,0,2,0,16,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ATG3,NCT06341465,NOT_YET_RECRUITING,"Scoliosis, Scoliosis Idiopathic, Musculoskeletal Deformity",NA,0,2,0,16,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ATG5,NCT01748500,COMPLETED,Prostate Cancer,PHASE2,4,3,10,16,33,0.0,0.0,1.0,0.0,1.0,0.0,0.0
ATG7,NCT02936999,TERMINATED,Breast Cancer,EARLY_PHASE1,2,0,10,16,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ATIC,NCT00384618,TERMINATED,Chronic Kidney Disease,PHASE4,6,0,0,16,22,1.0,0.0,1.0,0.0,1.0,0.0,1.0
ATM,NCT00465855,COMPLETED,Carbon Monoxide Poisoning,PHASE4,6,3,0,16,25,2.0,0.0,64.0,56.0,65.0,15.0,4.0
ATN1,NCT06706388,ACTIVE_NOT_RECRUITING,Dentatorubral-Pallidoluysian Atrophy,PHASE1,3,2,0,16,21,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ATP1B1,NCT06383884,RECRUITING,"Solid Tumor, Adult",PHASE2,4,2,10,16,32,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ATP2A2,NCT05230901,RECRUITING,"Aortic Stenosis, Severe",PHASE3,5,2,0,16,23,0.0,0.0,1.0,1.0,0.0,1.0,0.0
ATP2B1,NCT01363102,UNKNOWN,"Muscle Weakness, Critical Illness, Respiratory Insufficiency",NA,0,1,0,16,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ATP2C1,NCT02782702,COMPLETED,"Hailey-Hailey Disease, Darier Disease",PHASE1,3,3,0,16,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ATP7A,NCT00001262,COMPLETED,Kinky Hair Syndrome,PHASE1,3,3,0,16,22,0.0,0.0,2.0,1.0,0.0,0.0,0.0
ATR,NCT01082237,COMPLETED,Major Depressive Disorder,PHASE4,6,3,0,16,25,0.0,0.0,27.0,28.0,23.0,2.0,5.0
ATRX,NCT03893903,ACTIVE_NOT_RECRUITING,Malignant Glioma,PHASE1,3,2,10,16,31,1.0,0.0,2.0,1.0,0.0,0.0,0.0
ATXN2,NCT06672445,RECRUITING,Spinocerebellar Ataxia Type 2,PHASE1,3,2,0,16,21,0.0,0.0,0.0,2.0,0.0,0.0,0.0
AUH,NCT06150144,RECRUITING,"Basal Cell Carcinoma, BCC",PHASE3,5,2,10,16,33,0.0,0.0,6.0,0.0,0.0,1.0,0.0
AURKA,NCT01316692,TERMINATED,"Recurrent Melanoma, Stage IIIc Melanoma, Stage IV Melanoma",PHASE2,4,0,10,16,30,1.0,0.0,1.0,4.0,1.0,0.0,0.0
AVEN,NCT01881152,COMPLETED,Acute Stroke,NA,0,3,0,16,19,0.0,0.0,2.0,0.0,0.0,0.0,0.0
AVIL,NCT02477787,TERMINATED,Acute Myelogenous Leukemia,PHASE2,4,0,10,16,30,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AXIN1,NCT06005974,ACTIVE_NOT_RECRUITING,"AXIN1 Gene Mutation, APC Gene Mutation, Solid Tumor",PHASE2,4,2,10,16,32,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AXIN2,NCT01882660,TERMINATED,Colon Cancer,NA,0,0,10,16,26,0.0,0.0,1.0,0.0,0.0,0.0,0.0
B2M,NCT03965689,ACTIVE_NOT_RECRUITING,"Metastatic Lung Non-Small Cell Squamous Carcinoma, Metastatic Lung Non-Squamous Non-Small Cell Carcinoma, Stage IIIB Lung Cancer AJCC v8, Stage IV Lung Cancer AJCC v8, Stage IVA Lung Cancer AJCC v8, Stage IVB Lung Cancer AJCC v8, Unresectable Lung Non-Small Cell Carcinoma, Unresectable Lung Non-Squamous Non-Small Cell Carcinoma",PHASE2,4,2,10,16,32,0.0,0.0,6.0,1.0,2.0,0.0,0.0
BACE1,NCT02868905,UNKNOWN,"Obesity, Alzheimer's Disease",NA,0,1,0,16,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BACH1,NCT06155604,RECRUITING,"Lupus Nephritis, Chronic Kidney Diseases",PHASE2,4,2,0,16,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BACH2,NCT06155604,RECRUITING,"Lupus Nephritis, Chronic Kidney Diseases",PHASE2,4,2,0,16,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BAD,NCT00420927,COMPLETED,Rheumatoid Arthritis,PHASE4,6,3,0,16,25,0.0,0.0,38.0,19.0,37.0,4.0,10.0
BAG1,NCT02430116,UNKNOWN,"Ischemia-reperfusion(I/R), Cardiopulmonarybypass, the Mitochondrial Pathway, Ischemic Postconditioning",NA,0,1,0,16,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BAG3,NCT03693781,COMPLETED,Amyotrophic Lateral Sclerosis,PHASE2,4,3,0,16,23,0.0,0.0,1.0,0.0,1.0,0.0,0.0
BAG6,NCT02640573,TERMINATED,Hemoglobin SC Disease,PHASE2,4,0,0,16,20,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BAMBI,NCT00272259,TERMINATED,Stroke,PHASE1,3,0,0,16,19,0.0,0.0,5.0,1.0,0.0,0.0,0.0
BAP1,NCT03531840,COMPLETED,Mesothelioma,PHASE2,4,3,0,16,23,0.0,0.0,1.0,0.0,7.0,0.0,0.0
BARD1,NCT04508803,COMPLETED,Treatment Efficacy,PHASE2,4,3,0,16,23,0.0,0.0,0.0,0.0,5.0,0.0,0.0
BAX,NCT02872818,COMPLETED,Apoptotic Signal Pathways in Endometrial Hyperplasia,PHASE4,6,3,0,16,25,0.0,0.0,6.0,16.0,10.0,11.0,2.0
BBS2,NCT03389763,COMPLETED,Endoscopic Sinus Surgery,NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BCAN,NCT06689410,NOT_YET_RECRUITING,"Aneurysm, Brain Aneurysm, Congenital Disease",NA,0,2,0,16,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BCKDHA,NCT01529060,COMPLETED,Maple Syrup Urine Disease,PHASE2,4,3,0,16,23,0.0,0.0,5.0,0.0,1.0,0.0,0.0
BCKDHB,NCT02684929,COMPLETED,Type 2 Diabetes Mellitus With Features of Insulin Resistance,NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
